"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [Â°C]"
"Kuopio Savilahti","2024","1","4","23:50","-34"
"Kuopio Savilahti","2024","1","5","00:00","-33.9"
"Kuopio Savilahti","2024","1","5","00:10","-33.8"
"Kuopio Savilahti","2024","1","5","00:20","-33.7"
"Kuopio Savilahti","2024","1","5","00:30","-33.5"
"Kuopio Savilahti","2024","1","5","00:40","-33.5"
"Kuopio Savilahti","2024","1","5","00:50","-33.7"
"Kuopio Savilahti","2024","1","5","01:00","-33.9"
"Kuopio Savilahti","2024","1","5","01:10","-33.9"
"Kuopio Savilahti","2024","1","5","01:20","-33.9"
"Kuopio Savilahti","2024","1","5","01:30","-33.9"
"Kuopio Savilahti","2024","1","5","01:40","-34.1"
"Kuopio Savilahti","2024","1","5","01:50","-34.1"
"Kuopio Savilahti","2024","1","5","02:00","-34.2"
"Kuopio Savilahti","2024","1","5","02:10","-34.2"
"Kuopio Savilahti","2024","1","5","02:20","-34.2"
"Kuopio Savilahti","2024","1","5","02:30","-34.3"
"Kuopio Savilahti","2024","1","5","02:40","-34.4"
"Kuopio Savilahti","2024","1","5","02:50","-34.4"
"Kuopio Savilahti","2024","1","5","03:00","-34.4"
"Kuopio Savilahti","2024","1","5","03:10","-34.5"
"Kuopio Savilahti","2024","1","5","03:20","-34.5"
"Kuopio Savilahti","2024","1","5","03:30","-34.4"
"Kuopio Savilahti","2024","1","5","03:40","-34.2"
"Kuopio Savilahti","2024","1","5","03:50","-34.4"
"Kuopio Savilahti","2024","1","5","04:00","-34.6"
"Kuopio Savilahti","2024","1","5","04:10","-34.8"
"Kuopio Savilahti","2024","1","5","04:20","-34.7"
"Kuopio Savilahti","2024","1","5","04:30","-34.4"
"Kuopio Savilahti","2024","1","5","04:40","-34.3"
"Kuopio Savilahti","2024","1","5","04:50","-34.3"
"Kuopio Savilahti","2024","1","5","05:00","-34.3"
"Kuopio Savilahti","2024","1","5","05:10","-34.4"
"Kuopio Savilahti","2024","1","5","05:20","-34.4"
"Kuopio Savilahti","2024","1","5","05:30","-34.5"
"Kuopio Savilahti","2024","1","5","05:40","-34.6"
"Kuopio Savilahti","2024","1","5","05:50","-34.4"
"Kuopio Savilahti","2024","1","5","06:00","-34.3"
"Kuopio Savilahti","2024","1","5","06:10","-34.4"
"Kuopio Savilahti","2024","1","5","06:20","-34.5"
"Kuopio Savilahti","2024","1","5","06:30","-34.7"
"Kuopio Savilahti","2024","1","5","06:40","-34.7"
"Kuopio Savilahti","2024","1","5","06:50","-34.6"
"Kuopio Savilahti","2024","1","5","07:00","-34.6"
"Kuopio Savilahti","2024","1","5","07:10","-34.6"
"Kuopio Savilahti","2024","1","5","07:20","-34.5"
"Kuopio Savilahti","2024","1","5","07:30","-34.6"
"Kuopio Savilahti","2024","1","5","07:40","-34.5"
"Kuopio Savilahti","2024","1","5","07:50","-34.5"
"Kuopio Savilahti","2024","1","5","08:00","-34.5"
"Kuopio Savilahti","2024","1","5","08:10","-34.5"
"Kuopio Savilahti","2024","1","5","08:20","-34.5"
"Kuopio Savilahti","2024","1","5","08:30","-34.6"
"Kuopio Savilahti","2024","1","5","08:40","-34.7"
"Kuopio Savilahti","2024","1","5","08:50","-34.7"
"Kuopio Savilahti","2024","1","5","09:00","-34.5"
"Kuopio Savilahti","2024","1","5","09:10","-34.4"
"Kuopio Savilahti","2024","1","5","09:20","-34.4"
"Kuopio Savilahti","2024","1","5","09:30","-34.5"
"Kuopio Savilahti","2024","1","5","09:40","-34.5"
"Kuopio Savilahti","2024","1","5","09:50","-34.6"
"Kuopio Savilahti","2024","1","5","10:00","-34.4"
"Kuopio Savilahti","2024","1","5","10:10","-34.3"
"Kuopio Savilahti","2024","1","5","10:20","-34.3"
"Kuopio Savilahti","2024","1","5","10:30","-34.2"
"Kuopio Savilahti","2024","1","5","10:40","-34.2"
"Kuopio Savilahti","2024","1","5","10:50","-34.1"
"Kuopio Savilahti","2024","1","5","11:00","-34"
"Kuopio Savilahti","2024","1","5","11:10","-33.9"
"Kuopio Savilahti","2024","1","5","11:20","-33.8"
"Kuopio Savilahti","2024","1","5","11:30","-33.7"
"Kuopio Savilahti","2024","1","5","11:40","-33.6"
"Kuopio Savilahti","2024","1","5","11:50","-33.7"
"Kuopio Savilahti","2024","1","5","12:00","-33.7"
"Kuopio Savilahti","2024","1","5","12:10","-33.7"
"Kuopio Savilahti","2024","1","5","12:20","-33.7"
"Kuopio Savilahti","2024","1","5","12:30","-33.7"
"Kuopio Savilahti","2024","1","5","12:40","-33.6"
"Kuopio Savilahti","2024","1","5","12:50","-33.5"
"Kuopio Savilahti","2024","1","5","13:00","-33.4"
"Kuopio Savilahti","2024","1","5","13:10","-33.3"
"Kuopio Savilahti","2024","1","5","13:20","-33.2"
"Kuopio Savilahti","2024","1","5","13:30","-33.2"
"Kuopio Savilahti","2024","1","5","13:40","-33.1"
"Kuopio Savilahti","2024","1","5","13:50","-33.2"
"Kuopio Savilahti","2024","1","5","14:00","-33.2"
"Kuopio Savilahti","2024","1","5","14:10","-33.1"
"Kuopio Savilahti","2024","1","5","14:20","-33.2"
"Kuopio Savilahti","2024","1","5","14:30","-33.3"
"Kuopio Savilahti","2024","1","5","14:40","-33.4"
"Kuopio Savilahti","2024","1","5","14:50","-33.5"
"Kuopio Savilahti","2024","1","5","15:00","-33.4"
"Kuopio Savilahti","2024","1","5","15:10","-33.4"
"Kuopio Savilahti","2024","1","5","15:20","-33.3"
"Kuopio Savilahti","2024","1","5","15:30","-33.5"
"Kuopio Savilahti","2024","1","5","15:40","-33.4"
"Kuopio Savilahti","2024","1","5","15:50","-33.4"
"Kuopio Savilahti","2024","1","5","16:00","-33.5"
"Kuopio Savilahti","2024","1","5","16:10","-33.5"
"Kuopio Savilahti","2024","1","5","16:20","-33.6"
"Kuopio Savilahti","2024","1","5","16:30","-33.6"
"Kuopio Savilahti","2024","1","5","16:40","-33.4"
"Kuopio Savilahti","2024","1","5","16:50","-33.5"
"Kuopio Savilahti","2024","1","5","17:00","-33.5"
"Kuopio Savilahti","2024","1","5","17:10","-33.4"
"Kuopio Savilahti","2024","1","5","17:20","-33.3"
"Kuopio Savilahti","2024","1","5","17:30","-33.2"
"Kuopio Savilahti","2024","1","5","17:40","-33.2"
"Kuopio Savilahti","2024","1","5","17:50","-33.2"
"Kuopio Savilahti","2024","1","5","18:00","-33.2"
"Kuopio Savilahti","2024","1","5","18:10","-33.2"
"Kuopio Savilahti","2024","1","5","18:20","-33.1"
"Kuopio Savilahti","2024","1","5","18:30","-33"
"Kuopio Savilahti","2024","1","5","18:40","-33"
"Kuopio Savilahti","2024","1","5","18:50","-32.8"
"Kuopio Savilahti","2024","1","5","19:00","-32.7"
"Kuopio Savilahti","2024","1","5","19:10","-32.4"
"Kuopio Savilahti","2024","1","5","19:20","-32.3"
"Kuopio Savilahti","2024","1","5","19:30","-32.2"
"Kuopio Savilahti","2024","1","5","19:40","-32"
"Kuopio Savilahti","2024","1","5","19:50","-31.8"
"Kuopio Savilahti","2024","1","5","20:00","-31.5"
"Kuopio Savilahti","2024","1","5","20:10","-31.4"
"Kuopio Savilahti","2024","1","5","20:20","-31.3"
"Kuopio Savilahti","2024","1","5","20:30","-31.1"
"Kuopio Savilahti","2024","1","5","20:40","-31.1"
"Kuopio Savilahti","2024","1","5","20:50","-30.9"
"Kuopio Savilahti","2024","1","5","21:00","-30.8"
"Kuopio Savilahti","2024","1","5","21:10","-30.6"
"Kuopio Savilahti","2024","1","5","21:20","-30.4"
"Kuopio Savilahti","2024","1","5","21:30","-30.2"
"Kuopio Savilahti","2024","1","5","21:40","-30.1"
"Kuopio Savilahti","2024","1","5","21:50","-30"
"Kuopio Savilahti","2024","1","5","22:00","-29.8"
"Kuopio Savilahti","2024","1","5","22:10","-29.9"
"Kuopio Savilahti","2024","1","5","22:20","-29.9"
"Kuopio Savilahti","2024","1","5","22:30","-29.9"
"Kuopio Savilahti","2024","1","5","22:40","-29.9"
"Kuopio Savilahti","2024","1","5","22:50","-29.8"
"Kuopio Savilahti","2024","1","5","23:00","-29.7"
"Kuopio Savilahti","2024","1","5","23:10","-29.6"
"Kuopio Savilahti","2024","1","5","23:20","-29.5"
"Kuopio Savilahti","2024","1","5","23:30","-29.5"
"Kuopio Savilahti","2024","1","5","23:40","-29.5"
"Kuopio Savilahti","2024","1","5","23:50","-29.6"
"Kuopio Savilahti","2024","1","6","00:00","-29.7"
"Kuopio Savilahti","2024","1","6","00:10","-29.7"
"Kuopio Savilahti","2024","1","6","00:20","-29.7"
"Kuopio Savilahti","2024","1","6","00:30","-29.8"
"Kuopio Savilahti","2024","1","6","00:40","-29.8"
"Kuopio Savilahti","2024","1","6","00:50","-29.8"
"Kuopio Savilahti","2024","1","6","01:00","-29.8"
"Kuopio Savilahti","2024","1","6","01:10","-29.9"
"Kuopio Savilahti","2024","1","6","01:20","-30.1"
"Kuopio Savilahti","2024","1","6","01:30","-30.2"
"Kuopio Savilahti","2024","1","6","01:40","-30.2"
"Kuopio Savilahti","2024","1","6","01:50","-30.4"
"Kuopio Savilahti","2024","1","6","02:00","-30.4"
"Kuopio Savilahti","2024","1","6","02:10","-30.5"
"Kuopio Savilahti","2024","1","6","02:20","-30.5"
"Kuopio Savilahti","2024","1","6","02:30","-30.3"
"Kuopio Savilahti","2024","1","6","02:40","-30.1"
"Kuopio Savilahti","2024","1","6","02:50","-29.9"
"Kuopio Savilahti","2024","1","6","03:00","-29.7"
"Kuopio Savilahti","2024","1","6","03:10","-29.4"
"Kuopio Savilahti","2024","1","6","03:20","-29.2"
"Kuopio Savilahti","2024","1","6","03:30","-29.1"
"Kuopio Savilahti","2024","1","6","03:40","-29"
"Kuopio Savilahti","2024","1","6","03:50","-28.8"
"Kuopio Savilahti","2024","1","6","04:00","-28.7"
"Kuopio Savilahti","2024","1","6","04:10","-28.4"
"Kuopio Savilahti","2024","1","6","04:20","-28.2"
"Kuopio Savilahti","2024","1","6","04:30","-28.2"
"Kuopio Savilahti","2024","1","6","04:40","-28"
"Kuopio Savilahti","2024","1","6","04:50","-28"
"Kuopio Savilahti","2024","1","6","05:00","-27.9"
"Kuopio Savilahti","2024","1","6","05:10","-27.8"
"Kuopio Savilahti","2024","1","6","05:20","-27.7"
"Kuopio Savilahti","2024","1","6","05:30","-27.5"
"Kuopio Savilahti","2024","1","6","05:40","-27.4"
"Kuopio Savilahti","2024","1","6","05:50","-27.3"
"Kuopio Savilahti","2024","1","6","06:00","-27.3"
"Kuopio Savilahti","2024","1","6","06:10","-27.3"
"Kuopio Savilahti","2024","1","6","06:20","-27.4"
"Kuopio Savilahti","2024","1","6","06:30","-27.5"
"Kuopio Savilahti","2024","1","6","06:40","-27.5"
"Kuopio Savilahti","2024","1","6","06:50","-27.6"
"Kuopio Savilahti","2024","1","6","07:00","-27.6"
"Kuopio Savilahti","2024","1","6","07:10","-27.6"
"Kuopio Savilahti","2024","1","6","07:20","-27.6"
"Kuopio Savilahti","2024","1","6","07:30","-27.6"
"Kuopio Savilahti","2024","1","6","07:40","-27.7"
"Kuopio Savilahti","2024","1","6","07:50","-27.9"
"Kuopio Savilahti","2024","1","6","08:00","-28.3"
"Kuopio Savilahti","2024","1","6","08:10","-28.1"
"Kuopio Savilahti","2024","1","6","08:20","-27.9"
"Kuopio Savilahti","2024","1","6","08:30","-27.8"
"Kuopio Savilahti","2024","1","6","08:40","-28.5"
"Kuopio Savilahti","2024","1","6","08:50","-28.8"
"Kuopio Savilahti","2024","1","6","09:00","-28.7"
"Kuopio Savilahti","2024","1","6","09:10","-28.3"
"Kuopio Savilahti","2024","1","6","09:20","-28.6"
"Kuopio Savilahti","2024","1","6","09:30","-29"
"Kuopio Savilahti","2024","1","6","09:40","-29"
"Kuopio Savilahti","2024","1","6","09:50","-29"
"Kuopio Savilahti","2024","1","6","10:00","-28.5"
"Kuopio Savilahti","2024","1","6","10:10","-28.3"
"Kuopio Savilahti","2024","1","6","10:20","-28.3"
"Kuopio Savilahti","2024","1","6","10:30","-28.4"
"Kuopio Savilahti","2024","1","6","10:40","-28.4"
"Kuopio Savilahti","2024","1","6","10:50","-28.5"
"Kuopio Savilahti","2024","1","6","11:00","-28.3"
"Kuopio Savilahti","2024","1","6","11:10","-28.3"
"Kuopio Savilahti","2024","1","6","11:20","-27.9"
"Kuopio Savilahti","2024","1","6","11:30","-27.6"
"Kuopio Savilahti","2024","1","6","11:40","-28"
"Kuopio Savilahti","2024","1","6","11:50","-28.1"
"Kuopio Savilahti","2024","1","6","12:00","-27.8"
"Kuopio Savilahti","2024","1","6","12:10","-28.2"
"Kuopio Savilahti","2024","1","6","12:20","-28.2"
"Kuopio Savilahti","2024","1","6","12:30","-27.6"
"Kuopio Savilahti","2024","1","6","12:40","-27.5"
"Kuopio Savilahti","2024","1","6","12:50","-27.7"
"Kuopio Savilahti","2024","1","6","13:00","-28.1"
"Kuopio Savilahti","2024","1","6","13:10","-27.9"
"Kuopio Savilahti","2024","1","6","13:20","-27.7"
"Kuopio Savilahti","2024","1","6","13:30","-27.5"
"Kuopio Savilahti","2024","1","6","13:40","-27.3"
"Kuopio Savilahti","2024","1","6","13:50","-27.2"
"Kuopio Savilahti","2024","1","6","14:00","-27.1"
"Kuopio Savilahti","2024","1","6","14:10","-26.9"
"Kuopio Savilahti","2024","1","6","14:20","-26.8"
"Kuopio Savilahti","2024","1","6","14:30","-26.7"
"Kuopio Savilahti","2024","1","6","14:40","-26.6"
"Kuopio Savilahti","2024","1","6","14:50","-26.4"
"Kuopio Savilahti","2024","1","6","15:00","-26.3"
"Kuopio Savilahti","2024","1","6","15:10","-26.3"
"Kuopio Savilahti","2024","1","6","15:20","-26.5"
"Kuopio Savilahti","2024","1","6","15:30","-26.8"
"Kuopio Savilahti","2024","1","6","15:40","-26.8"
"Kuopio Savilahti","2024","1","6","15:50","-26.5"
"Kuopio Savilahti","2024","1","6","16:00","-26.2"
"Kuopio Savilahti","2024","1","6","16:10","-26"
"Kuopio Savilahti","2024","1","6","16:20","-25.9"
"Kuopio Savilahti","2024","1","6","16:30","-26.1"
"Kuopio Savilahti","2024","1","6","16:40","-26.1"
"Kuopio Savilahti","2024","1","6","16:50","-26.1"
"Kuopio Savilahti","2024","1","6","17:00","-26"
"Kuopio Savilahti","2024","1","6","17:10","-25.9"
"Kuopio Savilahti","2024","1","6","17:20","-26.1"
"Kuopio Savilahti","2024","1","6","17:30","-26.4"
"Kuopio Savilahti","2024","1","6","17:40","-26.6"
"Kuopio Savilahti","2024","1","6","17:50","-27"
"Kuopio Savilahti","2024","1","6","18:00","-27.2"
"Kuopio Savilahti","2024","1","6","18:10","-27.3"
"Kuopio Savilahti","2024","1","6","18:20","-27.3"
"Kuopio Savilahti","2024","1","6","18:30","-27.2"
"Kuopio Savilahti","2024","1","6","18:40","-27.5"
"Kuopio Savilahti","2024","1","6","18:50","-27.8"
"Kuopio Savilahti","2024","1","6","19:00","-28"
"Kuopio Savilahti","2024","1","6","19:10","-28.2"
"Kuopio Savilahti","2024","1","6","19:20","-28"
"Kuopio Savilahti","2024","1","6","19:30","-27.6"
"Kuopio Savilahti","2024","1","6","19:40","-28.1"
"Kuopio Savilahti","2024","1","6","19:50","-28.4"
"Kuopio Savilahti","2024","1","6","20:00","-28.6"
"Kuopio Savilahti","2024","1","6","20:10","-28.8"
"Kuopio Savilahti","2024","1","6","20:20","-28.6"
"Kuopio Savilahti","2024","1","6","20:30","-28.4"
"Kuopio Savilahti","2024","1","6","20:40","-28.7"
"Kuopio Savilahti","2024","1","6","20:50","-28.8"
"Kuopio Savilahti","2024","1","6","21:00","-29"
"Kuopio Savilahti","2024","1","6","21:10","-29.2"
"Kuopio Savilahti","2024","1","6","21:20","-29.3"
"Kuopio Savilahti","2024","1","6","21:30","-29.4"
"Kuopio Savilahti","2024","1","6","21:40","-29.3"
"Kuopio Savilahti","2024","1","6","21:50","-29.3"
"Kuopio Savilahti","2024","1","6","22:00","-29.6"
"Kuopio Savilahti","2024","1","6","22:10","-29.5"
"Kuopio Savilahti","2024","1","6","22:20","-29.7"
"Kuopio Savilahti","2024","1","6","22:30","-29.8"
"Kuopio Savilahti","2024","1","6","22:40","-29.8"
"Kuopio Savilahti","2024","1","6","22:50","-29.9"
"Kuopio Savilahti","2024","1","6","23:00","-29.9"
"Kuopio Savilahti","2024","1","6","23:10","-29.9"
"Kuopio Savilahti","2024","1","6","23:20","-29.9"
"Kuopio Savilahti","2024","1","6","23:30","-30"
"Kuopio Savilahti","2024","1","6","23:40","-29.5"
"Kuopio Savilahti","2024","1","6","23:50","-29.5"
