"Observation station","Year","Month","Day","Time [Local time]","Average temperature [Â°C]"
"Kuopio Savilahti","2023","11","1","02:00","-2.1"
"Kuopio Savilahti","2023","11","2","02:00","-1.5"
"Kuopio Savilahti","2023","11","3","02:00","-1.9"
"Kuopio Savilahti","2023","11","4","02:00","1.3"
"Kuopio Savilahti","2023","11","5","02:00","3.7"
"Kuopio Savilahti","2023","11","6","02:00","3.5"
"Kuopio Savilahti","2023","11","7","02:00","3"
"Kuopio Savilahti","2023","11","8","02:00","0.8"
"Kuopio Savilahti","2023","11","9","02:00","0.6"
"Kuopio Savilahti","2023","11","10","02:00","-0.5"
"Kuopio Savilahti","2023","11","11","02:00","-0.5"
"Kuopio Savilahti","2023","11","12","02:00","-1.1"
"Kuopio Savilahti","2023","11","13","02:00","-1.3"
"Kuopio Savilahti","2023","11","14","02:00","-3"
"Kuopio Savilahti","2023","11","15","02:00","-4.2"
"Kuopio Savilahti","2023","11","16","02:00","-5.7"
"Kuopio Savilahti","2023","11","17","02:00","-6.7"
"Kuopio Savilahti","2023","11","18","02:00","-3"
"Kuopio Savilahti","2023","11","19","02:00","-3.5"
"Kuopio Savilahti","2023","11","20","02:00","-2.7"
"Kuopio Savilahti","2023","11","21","02:00","-5.2"
"Kuopio Savilahti","2023","11","22","02:00","-7.3"
"Kuopio Savilahti","2023","11","23","02:00","-2.4"
"Kuopio Savilahti","2023","11","24","02:00","-8.8"
"Kuopio Savilahti","2023","11","25","02:00","-12"
"Kuopio Savilahti","2023","11","26","02:00","-17.5"
"Kuopio Savilahti","2023","11","27","02:00","-16.2"
"Kuopio Savilahti","2023","11","28","02:00","-4.4"
"Kuopio Savilahti","2023","11","29","02:00","-4.2"
"Kuopio Savilahti","2023","11","30","02:00","-5.6"
"Kuopio Savilahti","2023","12","1","02:00","-8.1"
"Kuopio Savilahti","2023","12","2","02:00","-11"
"Kuopio Savilahti","2023","12","3","02:00","-11.8"
"Kuopio Savilahti","2023","12","4","02:00","-16.1"
"Kuopio Savilahti","2023","12","5","02:00","-15.6"
"Kuopio Savilahti","2023","12","6","02:00","-13.3"
"Kuopio Savilahti","2023","12","7","02:00","-11.2"
"Kuopio Savilahti","2023","12","8","02:00","-10.3"
"Kuopio Savilahti","2023","12","9","02:00","-12.7"
"Kuopio Savilahti","2023","12","10","02:00","-12.1"
"Kuopio Savilahti","2023","12","11","02:00","-11.2"
"Kuopio Savilahti","2023","12","12","02:00","-12.5"
"Kuopio Savilahti","2023","12","13","02:00","-9.3"
"Kuopio Savilahti","2023","12","14","02:00","-5.9"
"Kuopio Savilahti","2023","12","15","02:00","-7.5"
"Kuopio Savilahti","2023","12","16","02:00","-4.3"
"Kuopio Savilahti","2023","12","17","02:00","-0.1"
"Kuopio Savilahti","2023","12","18","02:00","-0.8"
"Kuopio Savilahti","2023","12","19","02:00","0.5"
"Kuopio Savilahti","2023","12","20","02:00","-1.6"
"Kuopio Savilahti","2023","12","21","02:00","-4.2"
"Kuopio Savilahti","2023","12","22","02:00","-2.4"
"Kuopio Savilahti","2023","12","23","02:00","-1.3"
"Kuopio Savilahti","2023","12","24","02:00","-3.5"
"Kuopio Savilahti","2023","12","25","02:00","-5.5"
"Kuopio Savilahti","2023","12","26","02:00","-5.6"
"Kuopio Savilahti","2023","12","27","02:00","-9.7"
"Kuopio Savilahti","2023","12","28","02:00","-6.1"
"Kuopio Savilahti","2023","12","29","02:00","-10"
"Kuopio Savilahti","2023","12","30","02:00","-13"
"Kuopio Savilahti","2023","12","31","02:00","-17.1"
"Kuopio Savilahti","2024","1","1","02:00","-24.8"
"Kuopio Savilahti","2024","1","2","02:00","-24.9"
"Kuopio Savilahti","2024","1","3","02:00","-26.2"
"Kuopio Savilahti","2024","1","4","02:00","-32.4"
"Kuopio Savilahti","2024","1","5","02:00","-33.1"
"Kuopio Savilahti","2024","1","6","02:00","-28.4"
"Kuopio Savilahti","2024","1","7","02:00","-17.9"
"Kuopio Savilahti","2024","1","8","02:00","-4.5"
"Kuopio Savilahti","2024","1","9","02:00","0.3"
"Kuopio Savilahti","2024","1","10","02:00","0.7"
"Kuopio Savilahti","2024","1","11","02:00","-9.5"
"Kuopio Savilahti","2024","1","12","02:00","-16.1"
"Kuopio Savilahti","2024","1","13","02:00","-13.2"
"Kuopio Savilahti","2024","1","14","02:00","-8.5"
"Kuopio Savilahti","2024","1","15","02:00","-21"
"Kuopio Savilahti","2024","1","16","02:00","-24.7"
"Kuopio Savilahti","2024","1","17","02:00","-22.6"
"Kuopio Savilahti","2024","1","18","02:00","-12.9"
"Kuopio Savilahti","2024","1","19","02:00","-14.2"
"Kuopio Savilahti","2024","1","20","02:00","-19.4"
"Kuopio Savilahti","2024","1","21","02:00","-8.6"
"Kuopio Savilahti","2024","1","22","02:00","-1.3"
"Kuopio Savilahti","2024","1","23","02:00","2.4"
"Kuopio Savilahti","2024","1","24","02:00","-1.2"
"Kuopio Savilahti","2024","1","25","02:00","-6.8"
"Kuopio Savilahti","2024","1","26","02:00","-13.4"
"Kuopio Savilahti","2024","1","27","02:00","-6.3"
"Kuopio Savilahti","2024","1","28","02:00","-1"
"Kuopio Savilahti","2024","1","29","02:00","2.6"
"Kuopio Savilahti","2024","1","30","02:00","0.9"
"Kuopio Savilahti","2024","1","31","02:00","0.7"
"Kuopio Savilahti","2024","2","1","02:00","0.7"
